source,target
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/prabowo-temui-jokowi-di-solo-istana-pertemuan-dua-besti-228115-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/perang-bintang-di-pilkada-jateng-jenderal-bintang-empat-jagoan-pdip-hadapi-jenderal-bintang-tiga-polri-186384-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/pan-ikut-keputusan-ketum-kim-di-pilkada-jakarta-dan-jabar-176336-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/gerindra-minta-kejagung-jelaskan-ke-publik-kasus-tom-lembong-agar-prabowo-tak-tertuduh-226883-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/kaesang-dukung-ahmad-ali-di-pilkada-sulteng-beliau-punya-hubungan-baik-dengan-prabowo-gibran-232175-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/ridwan-kamil-ungkap-kondisi-mesin-partai-kim-plus-usai-elektabilitasnya-disalip-pramono-228770-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/pdip-usung-andika-perkasa-hendi-di-pilgub-jateng-2024-lawan-luthfi-taj-yasin-186374-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/maju-pilkada-sulteng-ahmad-ali-insya-allah-tak-ada-niat-tambah-harta-kekayaan-232185-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/elektabilitas-jeje-ronald-paling-buncit-hasto-tetap-yakin-jagoannya-bisa-menang-di-pilkada-jabar-232171-mvk.html
